,station id,station latitude,station longitude,County
268,402,40.740343200000005,-73.98955109,New York
269,500,40.76228826,-73.98336183,New York
271,3002,40.711512,-74.01575600000001,New York
274,346,40.73652889,-74.00618026,New York
275,3105,40.724055,-73.955736,Kings County
286,224,40.71146364,-74.00552427,New York
287,446,40.74487634,-73.99529885,New York
289,380,40.73401143,-74.00293877,New York
293,432,40.72621788,-73.98379855,New York
300,72,40.76727216,-73.99392888,New York
303,476,40.74394314,-73.97966069,New York
304,2012,40.739445,-73.97680600000001,New York
307,3094,40.7169811,-73.94485918,Kings County
310,379,40.749156,-73.9916,New York
311,435,40.74173969,-73.99415556,New York
314,253,40.73543934,-73.99453948,New York
315,3222,40.68515959989177,-73.97711366415024,Kings County
316,2008,40.70569254,-74.01677685,New York County
318,457,40.76695317,-73.98169333,New York
320,236,40.7284186,-73.98713956,New York
329,306,40.70823502,-74.00530063,New York
344,300,40.728145,-73.990214,New York
347,537,40.74025878,-73.98409214,New York
351,137,40.761628,-73.972924,New York
352,486,40.7462009,-73.98855723,New York
357,478,40.76030096,-73.99884222,New York
358,345,40.73649403,-73.99704374,New York
359,3087,40.71413311,-73.95234386,Kings County
364,481,40.71260486,-73.96264403,Kings County
365,242,40.697787,-73.973736,New York
368,168,40.73971301,-73.99456405,New York
373,391,40.69760127,-73.99344559,Kings County
382,472,40.745712100000006,-73.98194829,New York
386,465,40.75513557,-73.98658032,New York
391,473,40.72110063,-73.99192540000001,New York
396,3101,40.72079821,-73.95484712,Kings County
397,3074,40.70767788,-73.94016171,Kings County
403,505,40.74901271,-73.98848395,New York
404,416,40.68753406,-73.97265183,Kings County
411,265,40.72229346,-73.99147535,New York
412,349,40.71850211,-73.98329859,New York
414,304,40.70463334,-74.01361706,New York
419,150,40.720873600000004,-73.98085795,New York
424,434,40.74317449,-74.00366443,New York
430,533,40.75299641,-73.98721619,New York
431,3109,40.72606,-73.95621,Kings County
437,290,40.76020258,-73.96478473,New York
442,469,40.76344058,-73.98268129,New York
452,3047,40.682368700000005,-73.944118,Kings County
453,281,40.764397100000004,-73.97371465,New York
464,301,40.72217444,-73.98368779,New York
465,2006,40.76590936,-73.97634151,New York County
472,327,40.715337899999994,-74.01658354,New York
478,3088,40.7160751,-73.95202900000001,Kings County
483,458,40.751396,-74.00522600000001,New York
487,3090,40.71774592,-73.95600096,Kings County
489,461,40.73587678,-73.98205027,New York
495,264,40.70706456,-74.00731853,New York
499,282,40.70827295,-73.96834101,Kings County
533,146,40.71625008,-74.0091059,New York
536,3107,40.72311651,-73.95212324,Kings County
539,3079,40.71103537,-73.94714303,Kings County
544,261,40.69474881,-73.98362464,Kings County
546,439,40.726280700000004,-73.98978041,New York
554,223,40.73781509,-73.99994661,
563,295,40.71406667,-73.99293911,New York
564,3066,40.69957608,-73.94708417,Kings County
567,499,40.76915505,-73.98191841,New York
569,408,40.71076228,-73.99400398,New York
573,3223,40.758996559605116,-73.96865397691727,New York
582,411,40.72228087,-73.97668709,New York
587,369,40.73224119,-74.00026394,New York
589,2009,40.71117444,-73.99682619,New York
593,437,40.6809833854,-73.9500479759,Kings County
598,323,40.69236178,-73.98631746,Kings County
601,353,40.68539567,-73.97431458,Kings County
615,174,40.7381765,-73.97738662,New York
619,546,40.74444921,-73.98303529,New York
620,530,40.771522,-73.99054100000001,New York County
623,475,40.73524276,-73.98758561,New York
638,431,40.68864636,-73.98263429,Kings County
639,366,40.693261,-73.968896,Kings County
650,340,40.71269042,-73.98776323,New York
660,351,40.70530954,-74.00612572,New York
667,305,40.76095756,-73.96724467,New York
669,466,40.74395411,-73.99144871,New York
684,491,40.74096374,-73.98602213,New York
686,238,40.7361967,-74.00859207,New York
689,448,40.75660359,-73.9979009,New York
690,164,40.75323098,-73.97032517,New York
699,363,40.70834698,-74.01713445,New York
704,254,40.73532427,-73.99800419,New York
718,514,40.76087502,-74.00277668,New York County
720,291,40.713126,-73.984844,New York
736,329,40.72043411,-74.01020609,New York
738,467,40.68312489,-73.97895137,Kings County
744,502,40.714215,-73.981346,New York
749,147,40.71542197,-74.01121978,New York
755,237,40.73047309,-73.98672378,New York
771,385,40.75797322,-73.96603308,New York
805,318,40.75320159,-73.9779874,New York
809,422,40.770513,-73.988038,New York
811,485,40.75038009,-73.98338988,New York
832,3076,40.70870368,-73.9448625,Kings County
834,2022,40.759107,-73.959223,New York
836,418,40.70224,-73.982578,New York
837,462,40.74691959,-74.00451887,New York
844,441,40.756014,-73.967416,New York
849,388,40.749717753,-74.002950346,New York
851,279,40.707873,-74.00166999999999,New York
853,399,40.68851534,-73.9647628,Kings County
863,511,40.72938685,-73.97772429,New York
870,278,40.69766564,-73.98476437,Kings County
879,3058,40.69237074,-73.93705428,Kings County
910,311,40.7172274,-73.98802084,New York
917,298,40.68683208,-73.9796772,New York
937,195,40.70905623,-74.01043382,New York
948,270,40.69308257,-73.97178913,Kings County
956,144,40.69839895,-73.98068914,New York
966,302,40.72082834,-73.97793172,New York
972,143,40.69239502,-73.99337909,Kings County
984,3111,40.725848299999996,-73.95064893,Kings County
989,319,40.711065999999995,-74.009447,New York
1010,120,40.68676793,-73.95928168,Kings County
1013,313,40.69610226,-73.96751037,New York
1021,3106,40.72325,-73.94308000000001,Kings County
